molecule_chembl_id,activity_label,standard_value,standard_units,target_chembl_id,assay_chembl_id,rdkit_canonical_smiles
CHEMBL8488,0,15848.93,nM,CHEMBL364,CHEMBL1267249,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(C)c1=O
CHEMBL1770840,0,38540.0,nM,CHEMBL364,CHEMBL1771896,O=C(/C=C/c1cccc([N+](=O)[O-])c1)/C=C/c1cccc([N+](=O)[O-])c1
CHEMBL588694,1,916.31,nM,CHEMBL364,CHEMBL1054503,CN1CCCC1CCCOC(=O)c1ccc(N)cc1
CHEMBL1802554,1,440.0,nM,CHEMBL364,CHEMBL1803233,CN(C)CCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12
CHEMBL4471839,1,120.0,nM,CHEMBL364,CHEMBL4344852,CN1CCCN(c2ncc(-c3ccc4/c(=N/c5cnccn5)ccn(C)c4c3)cn2)CC1
CHEMBL581434,1,44.0,nM,CHEMBL364,CHEMBL4048940,Cc1[nH]c(C)c(-c2ccc(-c3ccccc3Cl)nc2)c(=O)c1Br
CHEMBL533163,1,905.45,nM,CHEMBL364,CHEMBL1054503,O=C(/C=C/c1ccsc1)N1CCC(CCN2CCC(c3c[nH]c4ccccc34)CC2)CC1
CHEMBL527947,1,795.66,nM,CHEMBL364,CHEMBL1054503,O=C(Nc1ccc(OC2CCN(Cc3ccccc3)CC2)c(Cl)c1)c1ccc(F)cc1.O=C(O)C(F)(F)F
CHEMBL3342236,1,767.0,nM,CHEMBL364,CHEMBL3374657,COc1ccc(COC[C@H](C)N2C[C@@H](C)[C@H](CN(C)S(=O)(=O)c3ccc(F)cc3)OCCCOc3ccc(NC(=O)Nc4c(C)noc4C)cc3C2=O)cc1
CHEMBL533512,1,794.18,nM,CHEMBL364,CHEMBL1054503,CCCCc1cc(NCc2ccncc2)nc(Nc2ccc(C)cc2)n1
CHEMBL4061994,1,44.0,nM,CHEMBL364,CHEMBL4016437,Cc1[nH]nc2c1C(c1cc(N3CC(F)(F)C3)cc(C(F)(F)F)c1)(C(C)C)C(C#N)=C(N)O2
CHEMBL179538,1,900.0,nM,CHEMBL364,CHEMBL834802,CCN(CC)CCCNC1CCN(CC(c2ccccc2)c2ccccc2)CC1
CHEMBL588539,1,75.7,nM,CHEMBL364,CHEMBL1040691,CC[n+]1c(/C=C/N2CCCc3ccccc32)ccc2ccccc21
CHEMBL117133,0,191000.0,nM,CHEMBL364,CHEMBL760275,O=C(O)C[S+]([O-])C[C@H](O)COP(=O)(O)O
CHEMBL6162816,1,4.44,nM,CHEMBL364,CHEMBL6085561,CCCCCc1cc(/C=C2\N=C(c3ccc[nH]3)C=C2OCc2ccc(Cl)cc2)[nH]c1C.Cl
CHEMBL324178,0,12500.0,nM,CHEMBL364,CHEMBL762990,NCC1C2c3ccccc3C(c3ccccc32)C1CN
CHEMBL1780232,1,11.0,nM,CHEMBL364,CHEMBL1780440,CCN(CC)c1ccc2nc3c4ccc(Br)cc4/c(=N/c4ccncc4)cc-3oc2c1
CHEMBL587238,1,532.5,nM,CHEMBL364,CHEMBL1054503,CC1=C(C(=O)OCCOCc2ccccc2)C(c2ccccc2C(F)(F)F)C(C(=O)OCCOCc2ccccc2)=C(C)N1
CHEMBL579304,1,295.3,nM,CHEMBL364,CHEMBL1040692,COCCn1c(SCC(=O)c2ccc(C)cc2C)nnc1-c1ccco1
CHEMBL4869503,0,27800.0,nM,CHEMBL364,CHEMBL4840215,BrC1=NOC(c2nc(-c3ccc4ccccc4c3)no2)C1
CHEMBL2316640,0,25000.0,nM,CHEMBL364,CHEMBL2317058,O=C1C(O)=C(C(Sc2ccc(O)cc2)c2ccccc2)C(=O)c2ccccc21
CHEMBL567375,1,24.0,nM,CHEMBL364,CHEMBL1047873,CC1(CC(=O)NCc2cccc(I)c2)CC2(CCCCC2)OO1
CHEMBL330342,1,8.35,nM,CHEMBL364,CHEMBL763697,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C(C)(C)C)c1O
CHEMBL601351,1,192.2,nM,CHEMBL364,CHEMBL1040692,CC1CC2(C)Oc3ccccc3CC2C(C)C1CNCCCN(C)C
