molecule_chembl_id,rdkit_canonical_smiles,pIC50,pIC50_range,n_measurements,target_chembl_id,assay_chembl_id
CHEMBL4277027,CC1(C)CC[C@]2(COC(=O)CCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CCCNC(C)(C)[C@@H]5CC[C@]43C)[C@H]2C1,4.686132779630847,0.0,1,CHEMBL360,CHEMBL4252975
CHEMBL5590006,N#Cc1cncnc1N,6.468521082957745,0.0,1,CHEMBL6069,CHEMBL5529356
CHEMBL4103410,Cl.NCC1OB(O)c2c(OCc3ccccc3)ccc(Br)c21,6.356547323513812,0.0,1,CHEMBL4105844,CHEMBL4020311
CHEMBL227603,O=C(N/N=C/c1cccs1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,7.119987161633229,0.0,1,CHEMBL360,CHEMBL914626
CHEMBL393465,CC(=O)Oc1cc(OC(C)=O)c2c(OC(C)=O)cc(C)c(Cl)c2c1OC(C)=O,4.499977602014248,6.111955204135352,2,CHEMBL360,CHEMBL3077583
CHEMBL1818377,O=C(CC[N+](=O)[O-])N1CCN(c2ccccc2)CC1,4.384997385475412,0.0,1,CHEMBL1667699,CHEMBL1820652
CHEMBL3409427,NNC(=O)c1cc(C2CCC(C(F)(F)F)CC2)c2ccccc2n1,5.559999795538785,0.0,1,CHEMBL360,CHEMBL3412552
CHEMBL5280674,O=C(CCC(F)(F)F)N1CCC(F)(c2ccc(F)nc2)CC1,8.0,0.0,1,CHEMBL360,CHEMBL5246902
CHEMBL3961081,CC(C)n1cnc(S(=O)(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)c1,5.684029654543083,0.0,1,CHEMBL3988585,CHEMBL3887425
CHEMBL3978318,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1,6.094534435212555,0.153611336504249,2,CHEMBL3988585,CHEMBL3887425
CHEMBL3323248,CCOC(=O)c1cc2cc(N3CCN(C(=O)c4ccc(C(F)(F)F)cc4)CC3)ccc2o1,4.345438445258257,0.0,1,CHEMBL3430898,CHEMBL3367585
CHEMBL3323156,CCOC(=O)c1cc2cc(N3CCN(C(=O)Cc4ccc(F)cc4)CC3)ccc2o1,4.570247719997592,0.0,1,CHEMBL3430898,CHEMBL3367585
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,4.070887743345339,0.0,1,CHEMBL1293297,CHEMBL1614471
CHEMBL4170611,CC(C)=C/C=C\[C@H](C)[C@H]1CC[C@]2(C)C[C@@H]3C(C)=CC(=O)[C@H]3/C(CO)=C\C[C@@H]12,4.431798275933005,0.0,1,CHEMBL4295521,CHEMBL4390593
CHEMBL462205,O=S(=O)(c1ccccc1)c1cc(O)c2ccccc2c1O,8.546681659952963,0.0,1,CHEMBL3640,CHEMBL1010089
CHEMBL376488,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,7.384775539310863,0.1674910872937633,2,CHEMBL360,CHEMBL3406705
CHEMBL1934944,Nc1ccc(C2=NN[C@@H](c3cn(-c4ccccc4)nc3-c3ccc(F)cc3)C2)cc1,4.129213544325073,0.0015729597419031,2,CHEMBL360,CHEMBL1936053
CHEMBL5076451,CC(C)CN1CCCN(c2nc(=O)c3cc(S(C)(=O)=O)cc([N+](=O)[O-])c3s2)CC1,5.886056647693163,0.0,1,CHEMBL3804751,CHEMBL5050652
CHEMBL4209346,N#C/C(=C\c1ccc2c(c1)OCO2)c1nc2ccccc2s1,4.180587688790675,0.0,1,CHEMBL2259247,CHEMBL4178649
CHEMBL118238,CCCCP(=O)(O)OCC,3.365815045014768,2.016644526392497e-05,2,CHEMBL4624,CHEMBL652028
CHEMBL3765483,Cc1nc2sc3ccccc3n2c1C(=O)Nc1ccc(Br)cc1,6.2839966563652006,0.0,1,CHEMBL6069,CHEMBL3766329
CHEMBL3125101,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3ccc4c(c3)B(O)OC4)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,8.698970004336019,0.0,1,CHEMBL1849,CHEMBL3132000
CHEMBL4086672,COc1ccc(Br)c2c1B(O)O[C@@H]2CN.Cl,7.130768280269024,0.0,1,CHEMBL4105844,CHEMBL4020311
CHEMBL3926902,O=C(Nc1ccc2c(c1)C(N1CCN(C(=O)c3ccc4[nH]ccc4c3)CC1)c1ccccc1-2)c1ccccc1,6.130181792020672,0.0,1,CHEMBL613086,CHEMBL3880092
CHEMBL3121945,NC(=O)c1c(NC(=O)c2ccc([N+](=O)[O-])s2)sc2c1CCN(S(=O)(=O)c1ccc([N+](=O)[O-])cc1)C2,5.231361898752385,0.0,1,CHEMBL6069,CHEMBL3123111
CHEMBL3323164,CCOC(=O)c1cc2cc(N3CCN(C(=O)CC4CCCCC4)CC3)ccc2o1,4.598599459218456,0.0,1,CHEMBL3430898,CHEMBL3367585
CHEMBL1945812,COc1ccc2nc(-c3noc(C4CCN(C(=O)CCC(F)(F)F)CC4)n3)sc2c1,6.0,0.0,1,CHEMBL1772929,CHEMBL1947973
CHEMBL3885295,O=c1nc(N2CCN(C(=S)Nc3ccc(Cl)cc3)CC2)sc2ccc(Cl)cc12,5.163675884293248,0.0,1,CHEMBL3430898,CHEMBL3875318
CHEMBL1701673,CCc1cc(=O)oc2cc(C)cc(OC(C)C(=O)NC3CCN(Cc4ccccc4)CC3)c12,5.818728228440539,0.0,1,CHEMBL1287620,CHEMBL2354305
CHEMBL4061966,Cl.NCC1OB(O)c2c(OCCO)ccc(Cl)c21,6.619788758288394,0.0,1,CHEMBL4105844,CHEMBL4020311
CHEMBL558427,COC(=O)[C@H](CCCNC(=N)N)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,6.869988050328096,0.0,1,CHEMBL360,CHEMBL1030449
CHEMBL4164425,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H]1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2C[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]3C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]4C[C@@H](C(=O)NCCN)N(CCCN)C4)N(CCCN)C3)N(CCCN)C2)N(CCCN)C1,5.700276812137362,0.6585413472804111,4,CHEMBL360,CHEMBL4154576
CHEMBL1773960,O=C(CC1CC1)N1CCC(c2nc(-c3cccs3)no2)CC1,5.958607314841775,0.0,1,CHEMBL1772929,CHEMBL1776262
CHEMBL5197941,CC(C)c1ccc(NC(=S)NCc2ccccc2)cc1,5.107905397309519,0.0,1,CHEMBL360,CHEMBL5144865
CHEMBL5430041,CCOC(=O)Cc1csc(N2C(=O)CSC2c2ccc(Br)cc2)n1,5.97469413473523,0.0,1,CHEMBL1849,CHEMBL5365587
CHEMBL1935073,Nc1nc(-c2ccccc2O)cc(-c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)n1,4.2422150237751,0.0044299911922003,2,CHEMBL360,CHEMBL1936053
CHEMBL4445442,Cn1c2ccccc2c2cc(/C=C3\SC(=S)N(c4ccc(C(=O)O)cc4)C3=O)ccc21,5.549750891680639,0.0,1,CHEMBL1849,CHEMBL4390274
CHEMBL1818421,CC(=O)C1CCC(NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,4.5003129173815966,0.0,1,CHEMBL1795155,CHEMBL1819932
CHEMBL5399952,CCCN(C)c1ccc(CN2CCC(COc3ccc(Cl)cc3)CC2)cc1,4.657577319177793,0.0,1,CHEMBL4879548,CHEMBL5347778
CHEMBL4171012,CC(C)=C/C=C\[C@H](C)[C@H]1CC[C@]2(C)C[C@H]3[C@@H]4/C(=C\C[C@@H]12)C(=O)O[C@]4(O)C[C@@]3(C)O,4.443697499232712,0.0,1,CHEMBL4295521,CHEMBL4390593
CHEMBL3329645,CCCCOc1ccc(NC(=O)NNC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)cc1,5.110000065251387,0.0,1,CHEMBL360,CHEMBL3380429
CHEMBL3637804,FC(F)(F)Oc1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1,5.499999678657065,0.0,1,CHEMBL613086,CHEMBL3637832
CHEMBL3753253,Cc1ccc2nc3ccccc3c(Nc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c2c1,4.943095148663527,0.0,1,CHEMBL3430898,CHEMBL3758003
CHEMBL4471280,Cc1ccccc1C(=O)CN1C(=O)NC(C)(c2ccc(S(N)(=O)=O)cc2)C1=O,7.0,0.0,1,CHEMBL3804751,CHEMBL4406692
CHEMBL3475529,CS(=O)(=O)c1ccc(-c2cc(C3CC3)c(C#N)c(N)n2)cc1,4.961522759366726,0.0438178576542584,2,CHEMBL4105939,CHEMBL4649965
CHEMBL1393256,C=CC#CC[N+]1(CC#Cc2ccccc2)CCOCC1.[Br-],3.907735639211652,0.0,1,CHEMBL1293297,CHEMBL1614471
CHEMBL5275865,O=C(CCC(F)(F)F)N1CCC(c2ncc(F)cc2F)CC1,8.0,0.0,1,CHEMBL360,CHEMBL5246902
CHEMBL1381433,Cc1cccc(N2C(=O)NC(=O)/C(=C/c3ccc([N+](=O)[O-])o3)C2=O)c1,3.827105302247824,0.0,1,CHEMBL1293297,CHEMBL1614471
CHEMBL5417487,CCCN(C)c1ccc(CN2CCC(COc3c(F)cccc3F)CC2)cc1,4.6020599913279625,0.0,1,CHEMBL4879548,CHEMBL5347778
CHEMBL241392,Cc1cc(O)c2c(c1)C(=O)C=C(c1c(C)cc(O)c3c1C(=O)C=CC3=O)C2=O,4.301029995663981,0.0,1,CHEMBL3430898,CHEMBL3875323
CHEMBL3342259,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,4.823908740944319,0.0,1,CHEMBL5630,CHEMBL3386562
CHEMBL3342668,Nc1ncnc2c1c(-c1cc3ccccc3c3ccccc13)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.721246399047171,0.0,1,CHEMBL360,CHEMBL3385546
CHEMBL4291253,CC(=O)Oc1ccc(COP(=O)(CCCC(=O)N(C)O)OCc2ccc(OC(C)=O)cc2)cc1,4.705974905904677,0.0,1,CHEMBL360,CHEMBL4269458
CHEMBL1806504,CC(=O)N(/N=N/c1ccc([N+](=O)[O-])cc1Br)c1ccc([N+](=O)[O-])cc1Br,7.221848749616356,0.0,1,CHEMBL360,CHEMBL3239483
CHEMBL4744408,CN1C[C@@H](c2ccc(Cl)cc2)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O,5.0726296369609765,0.0,1,CHEMBL360,CHEMBL4719106
CHEMBL5433256,CCCN(C)c1ccc(CN2CCC(COc3cccc(Br)c3)CC2)cc1,4.920818753952375,0.0,1,CHEMBL4879548,CHEMBL5347778
CHEMBL1563317,O=C(O)c1c2c(nc3ccccc13)/C(=C/c1ccc(O)cc1)CC2,3.90678850818634,0.0,1,CHEMBL1293297,CHEMBL1614471
CHEMBL4646506,CC(C)(C)OC(=O)Nc1ccc(C#Cc2ccc(NC(=O)C(=O)O)cc2)cc1,7.455931955649724,0.0,2,CHEMBL4295521,CHEMBL4626292
CHEMBL574280,O=C(N/N=C/c1ccc(F)cc1)c1ccc(N2CCOCC2)cc1,1.3312000000035191,0.0,1,CHEMBL360,CHEMBL1040362
CHEMBL3088173,Cc1csc(C(C)(O)c2nnc(Nc3ccn(Cc4c(F)cccc4F)n3)s2)n1,8.397940008672037,0.1249387366082999,3,CHEMBL1849,CHEMBL3089491
CHEMBL4582915,COc1ccc(O)c(-c2csc(N/N=C(C)/C=C/c3ccc(OC)c(OC)c3)n2)c1,4.638272163982407,0.0,1,CHEMBL360,CHEMBL4427455
CHEMBL3409428,COC1CCCC(c2cc(C(=O)NN)nc3ccccc23)C1,5.529999886197673,0.0,1,CHEMBL360,CHEMBL3412552
CHEMBL3628460,COc1ccc2ncc(C(=O)O)c(Nc3ccc(NCCCN4CCOCC4)cc3)c2c1,4.901356274182943,0.0,1,CHEMBL3430898,CHEMBL3630322
CHEMBL259507,CC(C)(C)C1CCc2onc(C(=O)Nc3cnn(Cc4ccc(F)cc4)c3)c2C1,6.823908740944319,0.0,1,CHEMBL6069,CHEMBL935788
